,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT,LCS-TA-COVERAGE-10,LCS-TA-RESIDUES-10
normalized_best_R1189_5.pdb,20.774,2.988387315383534e-11,0.72,0.871,,0.667,28.859,39.33,0.257,0.742,2.116,1.233,1.797,0.0,0.22,0.093,0.178,0.288,0.322,0.546,3.39,4.0
normalized_3drna_r1189_5.pdb,21.015,7.252076716923739e-11,0.623,0.786,,0.561,33.737,43.08,0.272,0.686,2.131,1.418,2.074,0.0,0.225,0.085,0.127,0.271,0.415,0.489,4.237,5.0
normalized_3drna_r1189_4.pdb,22.234,4.93239177279392e-09,0.644,0.816,,0.569,34.518,41.52,0.258,0.661,2.282,1.441,2.346,0.0,0.212,0.093,0.136,0.271,0.347,0.498,4.237,5.0
normalized_rhofold_R1189.pdb,22.312,6.362111504287782e-09,0.447,0.354,,0.562,49.945,56.35,0.234,0.638,2.38,2.081,1.116,0.0,0.182,0.068,0.144,0.229,0.288,0.37,,
normalized_3drna_r1189_3.pdb,22.888,3.940760356924145e-08,0.629,0.786,,0.58,36.379,45.32,0.256,0.654,2.322,1.475,2.07,0.0,0.203,0.076,0.119,0.271,0.347,0.49,2.542,3.0
normalized_3drna_r1189_2.pdb,23.206,1.0335677241846143e-07,0.627,0.795,,0.566,37.005,45.2,0.211,0.666,2.351,1.5,2.125,0.0,0.184,0.076,0.127,0.237,0.297,0.497,4.237,5.0
normalized_best_R1189_4.pdb,25.817,9.118073363012512e-05,0.631,0.597,,0.672,40.925,35.3,0.28,0.708,2.62,1.388,2.61,0.0,0.214,0.102,0.144,0.254,0.356,0.502,5.085,6.0
normalized_3drna_r1189_1.pdb,26.463,0.000357803664584,0.584,0.727,,0.522,45.338,47.36,0.222,0.665,2.692,1.49,2.141,0.0,0.193,0.068,0.119,0.271,0.314,0.478,2.542,3.0
normalized_alphafold3_R1189_1.pdb,26.574,0.0004465833684565,0.664,0.791,,0.625,40.004,32.73,0.267,0.683,2.734,1.587,3.269,0.0,0.208,0.119,0.144,0.254,0.314,0.526,6.78,8.0
normalized_simrna_r1189.pdb,26.583,0.0004546615331308,0.63,0.77,,0.584,42.175,35.37,0.2,0.683,2.765,1.696,2.793,0.0,0.195,0.085,0.127,0.254,0.314,0.043,1.695,2.0
normalized_best_R1189_1.pdb,26.642,0.000511861564597,0.727,0.851,,0.678,36.654,37.77,0.28,0.713,2.735,1.33,1.832,0.0,0.214,0.076,0.144,0.254,0.381,0.534,4.237,5.0
normalized_best_R1189_3.pdb,26.692,0.0005644736516524,0.686,0.762,,0.656,38.887,34.45,0.277,0.711,2.742,1.322,1.743,0.0,0.208,0.076,0.136,0.229,0.39,0.536,,
normalized_best_R1189_2.pdb,26.727,0.0006036335585361,0.698,0.793,,0.655,38.277,35.47,0.278,0.709,2.743,1.324,1.753,0.0,0.21,0.076,0.136,0.237,0.39,0.533,,
normalized_alphafold3_R1189_5.pdb,26.963,0.0009481425003012,0.674,0.802,,0.625,40.03,32.76,0.268,0.685,2.791,1.594,3.277,0.0,0.199,0.11,0.136,0.246,0.305,0.533,6.78,8.0
normalized_alphafold3_R1189_3.pdb,27.003,0.0010219153089164,0.669,0.802,,0.622,40.371,32.44,0.242,0.686,2.789,1.591,3.305,0.0,0.218,0.11,0.144,0.254,0.364,0.534,6.78,8.0
normalized_alphafold3_R1189_4.pdb,27.978,0.0055141912463066,0.662,0.78,,0.625,42.263,32.7,0.264,0.686,2.886,1.581,3.251,0.0,0.197,0.11,0.136,0.237,0.305,0.526,6.78,8.0
normalized_alphafold3_R1189_2.pdb,28.275,0.0087260044739102,0.669,0.791,,0.625,42.272,32.71,0.234,0.684,2.904,1.59,3.263,0.0,0.205,0.11,0.136,0.254,0.322,0.528,6.78,8.0
normalized_vfold_r1189_2.pdb,28.802,0.0185778227717093,0.659,0.851,,0.594,43.678,39.83,0.201,0.673,2.971,1.409,1.98,0.0,0.197,0.11,0.136,0.237,0.305,0.007,,
normalized_isrna_r1189.pdb,29.128,0.0285335436001653,0.693,0.851,,0.633,42.039,36.05,0.248,0.658,2.987,1.575,2.21,0.0,0.227,0.093,0.203,0.288,0.322,0.394,4.237,5.0
normalized_trrosettarna_r1189_4.pdb,29.408,0.0402713711321305,0.446,0.522,,0.464,65.952,44.49,0.183,0.65,3.011,1.571,1.055,0.0,0.155,0.059,0.102,0.195,0.263,0.455,0.847,1.0
normalized_vfoldpipeline_r1189.pdb,30.267,0.1019752320833053,0.653,0.838,,0.567,46.34,38.55,0.235,0.692,3.092,1.326,2.133,0.0,0.197,0.076,0.161,0.254,0.297,0.492,2.542,3.0
normalized_vfold_r1189_3.pdb,30.494,0.1263003207026525,0.658,0.851,,0.582,46.319,37.35,0.189,0.641,3.092,1.589,2.15,0.0,0.178,0.059,0.127,0.22,0.305,0.002,,
normalized_vfold_r1189_1.pdb,30.921,0.1821551414224535,0.636,0.838,,0.541,48.622,40.51,0.202,0.673,3.127,1.61,1.808,0.0,0.186,0.076,0.161,0.22,0.288,0.007,,
normalized_trrosettarna_r1189_2.pdb,31.093,0.2085502324164376,0.561,0.645,,0.544,55.423,40.28,0.185,0.663,3.145,1.457,1.466,0.0,0.176,0.085,0.136,0.212,0.271,0.489,0.847,1.0
normalized_rnajp_r1189.pdb,31.705,0.318699523048851,0.681,0.838,,0.633,46.578,33.93,0.206,0.667,3.225,1.408,2.921,0.0,0.186,0.076,0.127,0.237,0.305,0.06,5.085,6.0
normalized_vfold_r1189_4.pdb,32.248,0.432732836206083,0.621,0.838,,0.545,51.971,38.27,0.21,0.664,3.305,1.56,2.054,0.0,0.18,0.068,0.127,0.22,0.305,0.005,,
normalized_trrosettarna_r1189_3.pdb,34.59,0.8710170048662522,0.532,0.706,,0.493,65.043,37.93,0.188,0.658,3.522,1.51,1.68,0.0,0.172,0.093,0.127,0.195,0.271,0.49,2.542,3.0
normalized_trrosettarna_r1189_5.pdb,35.307,0.9369873596683856,0.447,0.464,,0.488,78.9,46.99,0.194,0.639,3.588,1.631,1.027,0.0,0.161,0.068,0.102,0.203,0.271,0.453,3.39,4.0
normalized_rnacomposer_r1189.pdb,35.366,0.9409329284968349,0.66,0.851,,0.602,53.61,35.5,0.208,0.662,3.576,1.475,2.283,0.0,0.193,0.068,0.144,0.254,0.305,0.514,2.542,3.0
normalized_trrosettarna_r1189_1.pdb,36.473,0.985282192893102,0.499,0.739,,0.445,73.056,37.91,0.182,0.648,3.699,1.52,1.971,0.0,0.172,0.076,0.119,0.212,0.28,0.5,2.542,3.0
normalized_vfold_r1189_5.pdb,37.812,0.998258088745041,0.654,0.851,,0.579,57.81,39.76,0.201,0.692,3.85,1.431,2.143,0.0,0.197,0.076,0.178,0.212,0.322,0.005,,
